,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,space 1,order_entry_time,order_entry_direction,order_price,order_quantity,space 2,long_position_entry_time,long_position_entry_direction,long_position_price,long_position_quantity,long_position_afford_range,long_position_liquidation,space 3,short_position_entry_time,short_position_entry_direction,short_position_price,short_position_quantity,short_position_afford_range,short_position_liquidation,LONG_Result,SHORT_Result,Property
0,2023-05-28 15:00:00,27190.21,27280.0,27171.56,27272.17,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,10876.77869333333
0,2023-05-28 16:00:00,27272.17,27344.0,27224.7,27252.27,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,10876.77869333333
0,2023-05-28 17:00:00,27252.26,27424.44,27212.91,27351.59,,,,,,,2023-05-27 22:00:00,多頭進場,26829.605341614908,3.22,28022.03224568668,23848.54,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,10876.77869333333
0,2023-05-28 18:00:00,27351.59,27746.33,27314.49,27589.75,,2023-05-28 18:00:00,多頭進場,27351.59,0.26,,2023-05-28 18:00:00,多頭進場,26868.604195402302,3.4800000000000004,28062.76438186463,23883.2,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,10876.77869333333
0,2023-05-28 19:00:00,27589.76,27630.36,27477.56,27525.99,,,,,,,2023-05-28 18:00:00,多頭進場,26868.604195402302,3.4800000000000004,28062.76438186463,23883.2,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,10876.77869333333
0,2023-05-28 20:00:00,27525.99,27593.84,27525.99,27554.48,,,,,,,2023-05-28 18:00:00,多頭進場,26868.604195402302,3.4800000000000004,28062.76438186463,23883.2,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,10876.77869333333
0,2023-05-28 21:00:00,27554.47,27956.0,27548.68,27835.02,,,,,,,2023-05-28 18:00:00,多頭進場,26868.604195402302,3.4800000000000004,28062.76438186463,23883.2,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,10876.77869333333
0,2023-05-28 22:00:00,27835.03,28175.0,27835.02,28090.39,,,,,,,2023-05-28 18:00:00,多頭進場,26868.604195402302,3.4800000000000004,28062.76438186463,23883.2,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,LONG Win,,15032.456142222225
0,2023-05-28 23:00:00,28090.39,28261.32,28050.69,28065.0,,,,,,,,,,,,,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,15032.456142222225
0,2023-05-29 00:00:00,28065.01,28447.14,28065.0,28192.53,,,,,,,,,,,,,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,15032.456142222225
0,2023-05-29 01:00:00,28192.52,28214.68,28133.71,28166.57,,,,,,,,,,,,,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,15032.456142222225
0,2023-05-29 02:00:00,28166.57,28179.0,28096.0,28096.01,,,,,,,,,,,,,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,15032.456142222225
0,2023-05-29 03:00:00,28096.01,28134.25,27914.28,27954.99,,,,,,,,,,,,,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,15032.456142222225
0,2023-05-29 04:00:00,27954.99,28004.41,27854.0,27947.07,,,,,,,,,,,,,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,15032.456142222225
0,2023-05-29 05:00:00,27947.07,28047.01,27938.36,27990.72,,,,,,,,,,,,,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,15032.456142222225
0,2023-05-29 06:00:00,27990.71,28037.28,27982.59,28002.49,,,,,,,,,,,,,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,15032.456142222225
0,2023-05-29 07:00:00,28002.49,28002.55,27841.0,27907.87,,,,,,,,,,,,,,2023-05-28 13:00:00,空頭進場,26633.214390243902,0.8200000000000001,25449.515972899728,29592.46,,,15032.456142222225
0,2023-05-29 08:00:00,27907.86,27945.0,27846.72,27900.61,,2023-05-29 08:00:00,空頭進場,27907.86,0.26,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
0,2023-05-29 09:00:00,27900.6,27944.77,27857.22,27939.95,,,,,,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
0,2023-05-29 10:00:00,27939.96,27971.01,27745.78,27857.59,,,,,,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
0,2023-05-29 11:00:00,27857.6,27936.53,27842.93,27913.87,,,,,,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
0,2023-05-29 12:00:00,27913.87,27949.7,27862.92,27876.98,,,,,,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
0,2023-05-29 13:00:00,27876.98,27944.13,27862.44,27903.12,,,,,,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
0,2023-05-29 14:00:00,27903.12,27932.53,27699.0,27787.77,,,,,,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
0,2023-05-29 15:00:00,27787.77,27841.94,27588.0,27630.51,,,,,,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
0,2023-05-29 16:00:00,27630.5,27673.64,27545.53,27597.24,,,,,,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
0,2023-05-29 17:00:00,27597.24,27737.99,27524.6,27689.14,,,,,,,,,,,,,,2023-05-29 08:00:00,空頭進場,26940.07351851852,1.08,25742.736917695474,29933.42,,,15032.456142222225
