,index,Open Time,open,high,low,close,Close Time,EMA,RSI,BBL_70_1.6,BBM_70_1.6,BBU_70_1.6,BBB_70_1.6,BBP_70_1.6
368,1417,2021-07-04,34669.12,35967.85,34357.15,35286.51,2021-07-04 23:59:59.999000064,40268.71,48.11,27933.794478210737,41999.457428571426,56065.120378932115,66.98021265766204,0.23942438922214293
369,1418,2021-07-05,35288.13,35293.78,33125.55,33690.14,2021-07-05 23:59:59.999000064,40128.41,50.27,27746.862688136185,41802.61985714286,55858.37702614954,67.2482117964908,0.2682625781445809
370,1419,2021-07-06,33690.15,35118.88,33532.0,34220.01,2021-07-06 23:59:59.999000064,39947.05,44.99,27572.824024874804,41512.459428571434,55452.09483226806,67.15880290196688,0.21942202209617884
371,1420,2021-07-07,34220.02,35059.09,33777.77,33862.12,2021-07-07 23:59:59.999000064,39785.73,47.01,27454.335147046528,41215.43157142857,54976.52799581061,66.7764276617282,0.24582651862557856
372,1421,2021-07-08,33862.11,33929.64,32077.0,32875.71,2021-07-08 23:59:59.999000064,39618.86,45.77,27339.198412526537,40915.65842857143,54492.11844461632,66.36315062482016,0.2402287334019537
373,1422,2021-07-09,32875.71,34100.0,32261.07,33815.81,2021-07-09 23:59:59.999000064,39428.92,42.43,27180.803194156968,40620.24,54059.67680584303,66.17113441891546,0.2118729708735663
374,1423,2021-07-10,33815.81,34262.0,33004.78,33502.87,2021-07-10 23:59:59.999000064,39270.8,46.49,27189.055652912313,40279.076571428566,53369.09748994482,64.99662868538296,0.25312237422454875
375,1424,2021-07-11,33502.87,34666.0,33306.47,34258.99,2021-07-11 23:59:59.999000064,39108.32,45.33,27223.89964774964,39932.01257142857,52640.125495107495,63.64874748522747,0.24704574117179923
376,1425,2021-07-12,34259.0,34678.43,32658.34,33086.63,2021-07-12 23:59:59.999000064,38971.72,48.71,27273.02627674178,39613.16671428571,51953.30715182964,62.3032262305538,0.28305892297643265
377,1426,2021-07-13,33086.94,33340.0,32202.25,32729.77,2021-07-13 23:59:59.999000064,38805.95,44.1,27341.784157430666,39269.13171428571,51196.47927114075,60.74668339313444,0.24083962570820722
