,index,Open Time,open,high,low,close,Close Time,EMA,RSI
949,1847,2022-09-07,18790.61,19464.06,18510.77,19292.84,2022-09-07 23:59:59.999000064,22471.78,35.35
950,1848,2022-09-08,19292.85,19458.25,19012.0,19319.77,2022-09-08 23:59:59.999000064,22382.99,35.73
951,1849,2022-09-09,19320.54,21597.22,19291.75,21360.11,2022-09-09 23:59:59.999000064,22354.18,56.81
952,1850,2022-09-10,21361.62,21810.8,21111.13,21648.34,2022-09-10 23:59:59.999000064,22334.29,58.88
953,1851,2022-09-11,21647.21,21860.0,21350.0,21826.87,2022-09-11 23:59:59.999000064,22320.0,60.18
954,1852,2022-09-12,21826.87,22488.0,21538.51,22395.74,2022-09-12 23:59:59.999000064,22322.13,64.11
955,1853,2022-09-13,22395.44,22799.0,19860.0,20173.57,2022-09-13 23:59:59.999000064,22261.61,45.13
956,1854,2022-09-14,20173.62,20541.48,19617.62,20226.71,2022-09-14 23:59:59.999000064,22204.29,45.55
957,1855,2022-09-15,20227.17,20330.24,19497.0,19701.88,2022-09-15 23:59:59.999000064,22133.8,42.08
958,1856,2022-09-16,19701.88,19890.0,19320.01,19803.3,2022-09-16 23:59:59.999000064,22068.15,43.0
959,1857,2022-09-17,19803.3,20189.0,19748.08,20113.62,2022-09-17 23:59:59.999000064,22013.09,45.86
960,1858,2022-09-18,20112.61,20117.26,19335.62,19416.18,2022-09-18 23:59:59.999000064,21939.94,40.83
961,1859,2022-09-19,19417.45,19686.2,18232.56,19537.02,2022-09-19 23:59:59.999000064,21872.25,42.03
962,1860,2022-09-20,19537.02,19634.62,18711.87,18875.0,2022-09-20 23:59:59.999000064,21787.82,37.49
963,1861,2022-09-21,18874.31,19956.0,18125.98,18461.36,2022-09-21 23:59:59.999000064,21694.12,34.92
964,1862,2022-09-22,18461.36,19550.17,18356.39,19401.63,2022-09-22 23:59:59.999000064,21629.54,44.38
965,1863,2022-09-23,19401.63,19500.0,18531.42,19289.91,2022-09-23 23:59:59.999000064,21563.64,43.56
966,1864,2022-09-24,19288.57,19316.14,18805.34,18920.5,2022-09-24 23:59:59.999000064,21489.18,40.84
967,1865,2022-09-25,18921.99,19180.21,18629.2,18807.38,2022-09-25 23:59:59.999000064,21413.64,40.0
968,1866,2022-09-26,18809.13,19318.96,18680.72,19227.82,2022-09-26 23:59:59.999000064,21352.07,44.6
969,1867,2022-09-27,19226.68,20385.86,18816.32,19079.13,2022-09-27 23:59:59.999000064,21288.04,43.32
970,1868,2022-09-28,19078.1,19790.0,18471.28,19412.82,2022-09-28 23:59:59.999000064,21235.22,47.04
971,1869,2022-09-29,19412.82,19645.52,18843.01,19591.51,2022-09-29 23:59:59.999000064,21188.92,49.0
972,1870,2022-09-30,19590.54,20185.0,19155.36,19422.61,2022-09-30 23:59:59.999000064,21139.16,47.2
973,1871,2022-10-01,19422.61,19484.0,19159.42,19310.95,2022-10-01 23:59:59.999000064,21087.66,45.98
974,1872,2022-10-02,19312.24,19395.91,18920.35,19056.8,2022-10-02 23:59:59.999000064,21030.46,43.21
975,1873,2022-10-03,19057.74,19719.1,18959.68,19629.08,2022-10-03 23:59:59.999000064,20990.98,50.53
976,1874,2022-10-04,19629.08,20475.0,19490.6,20337.82,2022-10-04 23:59:59.999000064,20972.58,57.86
977,1875,2022-10-05,20337.82,20365.6,19730.0,20158.26,2022-10-05 23:59:59.999000064,20949.64,55.58
978,1876,2022-10-06,20158.26,20456.6,19853.0,19960.67,2022-10-06 23:59:59.999000064,20921.78,53.08
979,1877,2022-10-07,19960.67,20068.82,19320.0,19530.09,2022-10-07 23:59:59.999000064,20882.58,47.94
980,1878,2022-10-08,19530.09,19627.38,19237.14,19417.96,2022-10-08 23:59:59.999000064,20841.32,46.65
981,1879,2022-10-09,19416.52,19558.0,19316.04,19439.02,2022-10-09 23:59:59.999000064,20801.82,46.94
982,1880,2022-10-10,19439.96,19525.0,19020.25,19131.87,2022-10-10 23:59:59.999000064,20754.78,43.19
983,1881,2022-10-11,19131.87,19268.09,18860.0,19060.0,2022-10-11 23:59:59.999000064,20707.04,42.33
984,1882,2022-10-12,19060.0,19238.31,18965.88,19155.53,2022-10-12 23:59:59.999000064,20663.34,43.95
985,1883,2022-10-13,19155.1,19513.79,18190.0,19375.13,2022-10-13 23:59:59.999000064,20627.05,47.65
986,1884,2022-10-14,19375.58,19951.87,19070.37,19176.93,2022-10-14 23:59:59.999000064,20586.2,44.75
987,1885,2022-10-15,19176.93,19227.68,18975.18,19069.39,2022-10-15 23:59:59.999000064,20543.47,43.19
988,1886,2022-10-16,19068.4,19425.84,19063.74,19262.98,2022-10-16 23:59:59.999000064,20507.4,46.82
989,1887,2022-10-17,19262.98,19676.96,19152.03,19549.86,2022-10-17 23:59:59.999000064,20480.43,51.81
990,1888,2022-10-18,19548.48,19706.66,19091.0,19327.44,2022-10-18 23:59:59.999000064,20447.95,48.0
991,1889,2022-10-19,19327.44,19360.16,19065.97,19123.97,2022-10-19 23:59:59.999000064,20410.66,44.72
992,1890,2022-10-20,19123.35,19347.82,18900.0,19041.92,2022-10-20 23:59:59.999000064,20372.1,43.42
993,1891,2022-10-21,19041.92,19250.0,18650.0,19164.37,2022-10-21 23:59:59.999000064,20338.08,45.98
994,1892,2022-10-22,19164.37,19257.0,19112.72,19204.35,2022-10-22 23:59:59.999000064,20306.14,46.84
995,1893,2022-10-23,19204.29,19695.0,19070.11,19570.4,2022-10-23 23:59:59.999000064,20285.42,54.13
996,1894,2022-10-24,19570.4,19601.15,19157.0,19329.72,2022-10-24 23:59:59.999000064,20258.5,49.28
997,1895,2022-10-25,19330.6,20415.87,19237.0,20080.07,2022-10-25 23:59:59.999000064,20253.47,61.12
998,1896,2022-10-26,20079.02,21020.0,20050.41,20771.59,2022-10-26 23:59:59.999000064,20268.07,68.51
999,1897,2022-10-27,20771.61,20872.21,20200.0,20295.11,2022-10-27 23:59:59.999000064,20268.83,59.95
1000,1898,2022-10-28,20295.11,20750.0,20000.09,20591.84,2022-10-28 23:59:59.999000064,20277.93,63.08
1001,1899,2022-10-29,20591.84,21085.0,20554.01,20809.67,2022-10-29 23:59:59.999000064,20292.91,65.26
1002,1900,2022-10-30,20809.68,20931.21,20515.0,20627.48,2022-10-30 23:59:59.999000064,20302.33,61.93
1003,1901,2022-10-31,20627.48,20845.92,20237.95,20490.74,2022-10-31 23:59:59.999000064,20307.64,59.44
1004,1902,2022-11-01,20490.74,20700.0,20330.74,20483.62,2022-11-01 23:59:59.999000064,20312.6,59.31
1005,1903,2022-11-02,20482.81,20800.0,20048.04,20151.84,2022-11-02 23:59:59.999000064,20308.07,53.16
1006,1904,2022-11-03,20151.84,20393.32,20031.24,20207.82,2022-11-03 23:59:59.999000064,20305.24,54.04
1007,1905,2022-11-04,20207.12,21302.05,20180.96,21148.52,2022-11-04 23:59:59.999000064,20329.0,65.78
1008,1906,2022-11-05,21148.52,21480.65,21080.65,21299.37,2022-11-05 23:59:59.999000064,20356.33,67.24
