,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,klines_EMA,RSI,space 1,order_entry_time,order_entry_direction,order_price,order_buy,order_quantity,order_profit,order_liquidation,space 2,Long Result,Short Result,Property
0,2023-01-12 00:00:00,17943.26,19117.04,17892.05,18846.62,17483.15,85.03,,,,,960000.0,,,,,,,1716249.9999999958
0,2023-01-13 00:00:00,18846.62,20000.0,18714.12,19930.01,17552.07,89.68,,,,,960000.0,,,,,,,1716249.9999999958
0,2023-01-14 00:00:00,19930.01,21258.0,19888.05,20954.92,17647.93,92.18,,,,,960000.0,,,,,,,1716249.9999999958
0,2023-01-15 00:00:00,20952.76,21050.74,20551.01,20871.5,17738.73,90.24,,,,,960000.0,,,,,,,1716249.9999999958
0,2023-01-16 00:00:00,20872.99,21474.05,20611.48,21185.65,17835.83,91.02,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-17 00:00:00,21185.65,21647.45,20841.31,21134.81,17928.76,89.75,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-18 00:00:00,21132.29,21650.0,20407.15,20677.47,18006.19,78.99,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-19 00:00:00,20677.47,21192.0,20659.19,21071.59,18092.53,81.12,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-20 00:00:00,21071.59,22755.93,20861.28,22667.21,18221.4,86.96,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-21 00:00:00,22666.0,23371.8,22422.0,22783.55,18349.91,87.27,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-22 00:00:00,22783.35,23078.71,22292.37,22707.88,18472.67,85.81,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-23 00:00:00,22706.02,23180.0,22500.0,22916.45,18597.85,86.49,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-24 00:00:00,22917.81,23162.2,22462.93,22632.89,18711.51,80.75,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-25 00:00:00,22631.94,23816.73,22300.0,23060.94,18834.03,82.65,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-26 00:00:00,23060.42,23282.47,22850.01,23009.65,18951.65,81.59,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-27 00:00:00,23009.65,23500.0,22534.88,23074.16,19067.78,81.91,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-28 00:00:00,23074.16,23189.0,22878.46,23022.6,19179.18,80.7,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-29 00:00:00,23021.4,23960.54,22967.76,23742.3,19307.72,84.24,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-30 00:00:00,23743.37,23800.51,22500.0,22826.15,19406.83,67.15,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-01-31 00:00:00,22827.38,23320.0,22714.77,23125.13,19511.57,69.37,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-01 00:00:00,23125.13,23812.66,22760.23,23732.66,19630.48,73.35,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-02 00:00:00,23731.41,24255.0,23363.27,23488.94,19739.17,69.4,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-03 00:00:00,23489.33,23715.7,23204.62,23431.9,19843.19,68.46,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-04 00:00:00,23431.9,23587.78,23253.96,23326.84,19941.32,66.65,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-05 00:00:00,23327.66,23433.33,22743.0,22932.91,20025.59,60.13,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-06 00:00:00,22932.91,23158.25,22628.13,22762.52,20102.68,57.48,,,,,962500.0,,,,,,,1726249.9999999958
